"source","listing_no","url","writer_type","agency","region_depth1","region_depth2","region_depth3","address","latitude","longitude","title","deposit_manwon","rent_manwon","maintenance_manwon","total_monthly_manwon","room_type","room_count","area_m2","floor","approval_date","image_1","image_2","crawl_note"
"daangn","3434834","https://realty.daangn.com/articles/3434834","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.255972369688","127.06351806771002","분리형 원룸 300만원/40만원 - 영통역도보12분 베란다있는 분리형원룸♡","300","40","7.7","47.7","SPLIT_ONE_ROOM","","23.10","2.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3434834/01KQ90CNRJX3MZ13Q2AQJK8HSB.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3434834/01KQ90CP66S6987XV61QYJZNF3.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3254282","https://realty.daangn.com/articles/3254282","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.25503480717","127.06217870837","분리형 원룸 100만원/42만원 - 영통역도보10분","100","42","7","49","SPLIT_ONE_ROOM","","21.00","8.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3254282/01KNX2Q2QDPFEWBVQAZEP54B6R.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3254282/01KNX2Q2ZXNYKSZ73H1QS5DVQJ.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3584264","https://realty.daangn.com/articles/3584264","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.26629864809998","127.04801458007002","분리형 원룸 500만원/45만원 - 삼성전기 도보권","500","45","7","52","SPLIT_ONE_ROOM","","21.48","4.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3584264/01KRZ87X04GWG3Y76NXJ41741P.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3584264/01KRZ87X8XKNP03V3SQ51D8NYD.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3453388","https://realty.daangn.com/articles/3453388","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.261163445058","127.06075697357","오픈형 원룸 500만원/45만원 - 삼성사업장 도보 5분","500","45","9","54","OPEN_ONE_ROOM","","23.14","2.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3453388/01KQEBR3T02AAT92HYB670BBMC.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3453388/01KQEBR41EMG7HR30343F0A8JR.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3583880","https://realty.daangn.com/articles/3583880","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.26051046395","127.06087706214","분리형 원룸 300만원/47만원 - 삼성디지털시티 수원사업장 도보5분","300","47","9","56","SPLIT_ONE_ROOM","","23.20","6.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3583880/01KRZD910FSCHZ8Y4WP4VTBE5K.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3583880/01KRZD918629PMFY7MB4G58WEW.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3555379","https://realty.daangn.com/articles/3555379","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.270951099406005","127.05177598330002","투룸이상 1,000만원/55만원 - 영통경찰서  주변","1000","55","2","57","TWO_ROOM","","49.60","2.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3555379/01KS16QENRBBKKDJCCF831QRY8.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3555379/01KS16QEYF6P5GH9QSSD2WQAR2.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3453417","https://realty.daangn.com/articles/3453417","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.261163445058","127.06075697357","오픈형 원룸 500만원/49만원 - 삼성사업장 도보 5분","500","49","9","58","OPEN_ONE_ROOM","","26.44","2.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3453417/01KQEFKRK5WE9HJG7C2ZHTAP3Q.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3453417/01KQEFKRRWWRXAG9X712T1NBGE.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3581999","https://realty.daangn.com/articles/3581999","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.272558536905976","127.04269752287999","투룸이상 1억/55만원 - 매탄시장 인근","10000","55","5","60","TWO_ROOM","","49.58","1.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3581999/01KRYXKHPR68FSCKMB4N241FCB.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3581999/01KRYXKJ54E86REVNX8H2TJQHJ.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3575902","https://realty.daangn.com/articles/3575902","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.26087030881099","127.06135826171999","분리형 원룸 300만원/55만원 - 경기도 수원시 영통구","300","55","7","62","SPLIT_ONE_ROOM","","23.12","3.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3575902/01KRWR8V6HY95BB6ZMM19K2KDN.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3575902/01KRWR8VAK6FRCVX4CZAS3QGN8.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3586817","https://realty.daangn.com/articles/3586817","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.260893039150986","127.06014611557","분리형 원룸 500만원/55만원 - 경기도 수원시 영통구","500","55","7.5","62.5","SPLIT_ONE_ROOM","","23.14","7.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3586817/01KRZGXED2MP80W5TN3ZM85150.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3586817/01KRZGXENQ2W0RZ4T0CS2G7NTP.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3590984","https://realty.daangn.com/articles/3590984","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.263609089208","127.04886301678002","분리형 원룸 1,000만원/58만원 - 삼성전자 도보권!!!","1000","58","8","66","SPLIT_ONE_ROOM","","33.05","","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3590984/01KS1GH533RKFVQYW4TX1Y1STA.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3590984/01KS1GH59CXMD7P1D10NQRPM4T.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3582146","https://realty.daangn.com/articles/3582146","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.265431595192986","127.04619112319999","분리형 원룸 2,000만원/60만원 - 매탄공원 인근","2000","60","7","67","SPLIT_ONE_ROOM","","29.75","3.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3582146/01KRYYB1KQG8QJ1G4BD4FSMH2Y.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3582146/01KRYYB21S1G4A3PGFCED9MT1M.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3579440","https://realty.daangn.com/articles/3579440","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.272558536905976","127.04269752287999","투룸이상 1,000만원/65만원 - 매탄동 리모델링 풀옵션 첫입주","1000","65","5","70","TWO_ROOM","","49.58","2.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3579440/01KRX4Z0SYWQPN0WK46MGBTWJR.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3579440/01KRX4Z1FSNYXAJ935TGJ918FV.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3575780","https://realty.daangn.com/articles/3575780","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.25830863124799","127.05923002430002","분리형 원룸 3,000만원/60만원 - 경기도 수원시 영통구","3000","60","12","72","SPLIT_ONE_ROOM","","40.00","6.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3575780/01KRWQQQA4PD77E78ZJ78JXRRG.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3575780/01KRWQQQKSPWQJ8WGHZEQ7WX5W.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3571837","https://realty.daangn.com/articles/3571837","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.27170218136698","127.04653276656","투룸이상 3,000만원/70만원 - 법원사거리 및 매탄공원 인근 주택가","3000","70","10","80","TWO_ROOM","","42.97","4.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3571837/01KRTMH1CYDS2W0VGT30GYQ159.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3571837/01KRTMH22Q86TR0VRV95T89W5K.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3580492","https://realty.daangn.com/articles/3580492","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.27170218136698","127.04653276656","투룸이상 3,000만원/70만원 - 버스정류장인접","3000","70","10","80","TWO_ROOM","","15.00","","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3580492/01KRXC5FQMPEFMHZ899WGF6655.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3580492/01KRXC5G51KR80G3PBMHCP6XKE.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3578133","https://realty.daangn.com/articles/3578133","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.27170218136698","127.04653276656","투룸이상 3,000만원/70만원 - 경기도 수원시 영통구","3000","70","10","80","TWO_ROOM","","42.97","4.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3578133/01KRX03BEKPSB5XSDRB7DRM691.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3578133/01KRX03BP6JJWXEB7CQXT7S2ZA.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3577970","https://realty.daangn.com/articles/3577970","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.266733467475","127.06084842585999","분리형 원룸 5,000만원/70만원 - 경기도 수원시 영통구","5000","70","11","81","SPLIT_ONE_ROOM","","32.66","3.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3577970/01KRWZH1A4YHANB4AXTQ22AXKW.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3577970/01KRWZH1GMGNBQ9JFJX38KFKJ3.png?q=95&s=1440x1440&t=inside&service=realty",""
